Frame Number,X Center,Y Center,Width,Height
876,459,73,60,60
877,483,87,60,60
880,550,161,60,60
881,660,107,60,60
882,739,184,60,60
883,94,216,60,60
884,248,225,60,60
885,247,233,60,60
886,418,255,60,60
887,572,284,60,60
888,726,308,60,60
889,873,332,60,60
890,1009,351,60,60
891,1001,353,60,60
892,966,155,60,60
893,1086,119,60,60
894,209,394,60,60
895,294,396,60,60
896,329,396,60,60
897,498,393,60,60
898,538,389,60,60
899,591,363,60,60
900,657,337,60,60
901,686,311,60,60
902,855,287,60,60
903,923,268,60,60
904,944,260,60,60
905,66,562,80,80
906,96,558,88,88
907,852,218,78,78
908,915,206,68,68
909,1036,206,76,76
910,1030,201,76,76
911,1042,198,68,68
912,94,516,84,84
913,819,192,60,60
914,973,194,56,56
915,755,192,60,60
916,729,193,60,60
917,785,205,60,60
918,691,215,60,60
919,638,220,60,60
920,599,233,60,60
921,506,240,60,60
922,492,246,60,60
923,404,251,60,60
924,330,254,60,60
925,256,254,60,60
926,162,254,60,60
927,148,256,60,60
928,1029,72,60,60
929,938,76,60,60
930,845,80,72,72
931,780,103,60,60
932,709,98,60,60
933,716,111,60,60
934,628,84,58,58
935,558,82,60,60
936,497,82,60,60
937,435,83,60,60
938,506,257,60,60
939,503,255,60,60
940,305,71,60,60
941,246,66,60,60
942,188,64,60,60
943,140,67,60,60
944,84,78,60,60
945,207,243,60,60
946,25,79,60,60
947,97,232,60,60
948,54,226,60,60
949,24,224,60,60
950,11,227,60,60
952,597,42,60,60
953,521,126,60,60
954,500,122,60,60
955,900,530,60,60
956,487,120,60,60
957,487,118,60,60
958,474,111,60,60
959,464,107,60,60
960,454,104,60,60
961,851,518,60,60
962,844,518,60,60
963,446,74,60,60
964,447,63,60,60
965,447,63,60,60
966,446,64,60,60
967,442,67,60,60
968,442,66,60,60
